"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
2774,-8.063289,-34.886677,130.556666666667,137.656666666667,141.59,135.723333333333,140.323333333333,147.69,1,3,5,3,0,1
50,-8.077371,-34.89938,128.49,111.356666666667,126.99,136.356666666667,133.056666666667,145.356666666667,2,0,1,0,3,2
2131,-8.067739,-34.892925,118.256666666667,125.523333333333,122.623333333333,125.09,117.523333333333,92.7233333333333,0,1,3,1,0,0
1135,-8.071313,-34.892048,107.49,126.49,128.465,105.865,89.84,133.565,0,1,3,1,1,1
2489,-8.06556,-34.892735,134.556666666667,126.656666666667,126.756666666667,128.823333333333,115.723333333333,117.19,0,2,3,2,0,0
2823,-8.062716,-34.88736,130.29,137.023333333333,141.623333333333,133.256666666667,142.323333333333,144.823333333333,1,3,4,3,0,1
2752,-8.06353,-34.888889,120.34,128.015,130.215,133.565,130.015,137.115,1,2,4,2,0,1
2380,-8.065838,-34.892006,139.356666666667,130.69,134.423333333333,137.223333333333,107.456666666667,118.323333333333,0,2,3,2,0,0
2842,-8.062397,-34.887764,133.64,131.79,140.04,142.99,143.19,144.19,1,3,4,3,0,1
2603,-8.064565,-34.897106,127.39,100.79,122.94,94.24,126.44,111.19,1,2,3,2,1,0
597,-8.074223,-34.890263,103.723333333333,139.523333333333,126.79,126.623333333333,122.856666666667,140.656666666667,1,0,3,0,1,2
2387,-8.065832,-34.89159,140.79,132.89,128.456666666667,127.923333333333,116.69,117.49,0,2,3,2,0,0
1646,-8.069456,-34.889526,129.69,135.823333333333,129.19,114.656666666667,100.456666666667,133.723333333333,0,1,3,1,0,1
438,-8.075328,-34.89249,118.59,128.49,128.99,108.04,122.64,141.74,1,0,3,0,1,2
2682,-8.0639,-34.894276,136.39,115.34,126.64,134.84,137.64,120.49,0,2,3,2,1,0
539,-8.074515,-34.890202,96.39,136.123333333333,122.323333333333,106.756666666667,120.59,138.256666666667,1,0,3,0,1,2
1702,-8.069293,-34.8965,110.723333333333,106.923333333333,106.523333333333,90.5566666666667,114.056666666667,105.423333333333,0,1,2,1,1,1
949,-8.072487,-34.900681,117.223333333333,119.59,119.656666666667,120.423333333333,138.723333333333,124.79,1,1,1,1,2,2
2400,-8.06582,-34.890938,138.623333333333,132.756666666667,140.456666666667,136.79,121.323333333333,118.556666666667,0,2,4,2,0,0
46,-8.077387,-34.89938,126.64,107.59,122.69,130.69,134.39,135.39,2,1,1,1,3,2
1879,-8.06883,-34.900322,104.556666666667,111.923333333333,118.323333333333,121.823333333333,124.89,112.056666666667,1,1,2,1,2,1
1595,-8.069586,-34.898396,107.356666666667,115.09,121.756666666667,116.056666666667,120.19,106.523333333333,1,1,2,1,1,1
2357,-8.066001,-34.888611,123.59,133.856666666667,132.29,124.456666666667,102.623333333333,137.156666666667,0,2,4,2,0,1
1258,-8.070692,-34.900883,128.49,124.823333333333,125.123333333333,123.59,132.89,127.756666666667,1,1,1,1,2,1
2716,-8.063722,-34.897202,126.89,103.14,127.79,96.19,124.29,119.74,1,2,3,2,1,0
980,-8.072404,-34.900688,115.64,116.69,122.64,121.09,139.94,127.19,1,1,1,1,2,2
1232,-8.070766,-34.900875,121.74,131.49,126.34,118.09,135.34,125.64,1,1,1,1,2,1
253,-8.076256,-34.899773,122.256666666667,110.423333333333,124.49,135.256666666667,142.956666666667,142.556666666667,2,1,1,1,2,2
931,-8.07252,-34.896294,104.965,111.94,115.54,103.29,125.065,130.015,1,0,2,0,1,1
1631,-8.069493,-34.890995,107.356666666667,137.523333333333,124.223333333333,115.956666666667,99.9566666666667,127.59,0,1,3,1,0,1
326,-8.075871,-34.894035,110.14,118.89,121.64,109.99,126.79,136.99,1,0,2,0,2,2
416,-8.075445,-34.896282,114.223333333333,119.823333333333,132.223333333333,116.39,132.09,134.39,1,0,2,0,2,2
2863,-8.062281,-34.887882,139.723333333333,127.356666666667,138.623333333333,140.756666666667,141.456666666667,145.19,1,3,4,3,0,1
2077,-8.06813,-34.890324,122.64,135.74,130.115,120.29,105.19,127.54,0,1,3,1,0,1
55,-8.077357,-34.898674,123.223333333333,80.8233333333333,121.423333333333,120.323333333333,132.723333333333,135.59,2,0,1,0,2,2
1965,-8.068598,-34.889526,124.956666666667,131.49,134.09,111.523333333333,107.19,128.456666666667,0,1,4,1,0,1
185,-8.076459,-34.899715,120.89,112.44,129.19,134.44,136.54,143.74,2,1,1,1,2,2
2094,-8.06803,-34.896683,111.49,109.723333333333,108.056666666667,97.3566666666667,118.456666666667,99.7233333333333,0,1,2,1,1,0
1187,-8.070974,-34.891792,101.415,119.29,131.565,93.69,102.04,131.665,0,1,3,1,1,1
1268,-8.070662,-34.891899,104.79,129.49,124.09,117.723333333333,98.9233333333333,132.956666666667,0,1,3,1,1,1
1322,-8.070476,-34.896717,102.64,107.64,119.49,99.29,128.24,119.34,0,1,2,1,1,1
2137,-8.067663,-34.890396,123.556666666667,126.023333333333,127.69,111.223333333333,97.39,130.556666666667,0,1,3,1,0,1
1140,-8.07129,-34.900772,117.89,118.59,126.09,123.74,138.29,128.69,1,1,1,1,2,1
1654,-8.069428,-34.89106,108.99,134.023333333333,120.723333333333,122.356666666667,104.156666666667,131.89,0,1,3,1,0,1
1111,-8.071501,-34.891926,103.54,112.915,125.74,97.89,105.865,134.19,0,1,3,1,1,1
455,-8.075187,-34.900101,122.69,113.24,131.69,127.49,136.59,136.59,2,1,1,1,2,2
1448,-8.069979,-34.890102,100.956666666667,137.723333333333,128.056666666667,121.69,114.356666666667,133.19,0,1,3,1,0,1
1364,-8.070296,-34.893524,103.356666666667,118.323333333333,124.89,108.923333333333,119.323333333333,99.6233333333333,0,1,3,1,1,1
87,-8.077186,-34.899441,121.556666666667,114.123333333333,121.223333333333,134.723333333333,131.19,137.856666666667,2,1,1,1,3,2
2093,-8.068036,-34.892292,120.19,127.34,129.19,109.49,118.59,106.24,0,1,3,1,0,0
775,-8.073071,-34.896347,101.023333333333,100.823333333333,121.69,96.0233333333333,119.19,136.023333333333,1,0,2,0,1,1
41,-8.077416,-34.898849,118.79,79.59,124.723333333333,120.156666666667,121.656666666667,133.923333333333,2,0,1,0,2,2
15,-8.07753,-34.899109,122.815,82.965,115.34,127.865,134.69,136.84,2,0,1,0,3,2
65,-8.077327,-34.898586,123.356666666667,83.1566666666667,120.956666666667,120.923333333333,131.223333333333,137.256666666667,2,0,1,0,2,2
841,-8.072798,-34.89666,107.09,96.1566666666667,123.89,87.19,124.756666666667,137.023333333333,1,0,2,0,1,1
2484,-8.065576,-34.893753,129.256666666667,121.09,124.19,126.823333333333,115.656666666667,114.59,0,2,3,2,0,0
972,-8.072415,-34.893349,99.74,122.64,109.84,98.19,111.44,130.84,0,0,3,0,1,1
2740,-8.063583,-34.90144,138.89,128.523333333333,131.99,122.723333333333,133.49,130.556666666667,1,2,2,2,2,1
1459,-8.069946,-34.897518,107.44,116.69,121.64,109.49,119.49,114.34,1,1,2,1,1,1
2367,-8.065903,-34.901241,120.99,123.923333333333,122.29,112.756666666667,130.19,117.256666666667,1,2,2,2,2,1
1033,-8.072116,-34.897007,109.923333333333,114.956666666667,123.023333333333,102.79,130.756666666667,131.356666666667,1,0,2,0,1,1
791,-8.072972,-34.894173,101.19,105.09,102.99,86.29,112.64,124.09,0,0,2,0,1,1
2817,-8.062799,-34.88726,132.923333333333,138.79,140.823333333333,131.856666666667,137.19,145.49,1,3,4,3,0,1
2046,-8.068363,-34.896622,101.89,110.59,108.29,103.29,117.09,105.84,0,1,2,1,1,0
1853,-8.068878,-34.889618,124.69,132.423333333333,133.19,110.256666666667,106.223333333333,135.256666666667,0,1,3,1,0,1
1615,-8.069531,-34.890915,108.49,134.556666666667,124.756666666667,114.223333333333,108.09,118.656666666667,0,1,3,1,0,1
609,-8.074162,-34.900398,119.423333333333,102.556666666667,111.423333333333,117.09,142.556666666667,136.89,1,1,1,1,2,2
2824,-8.062677,-34.887405,134.99,139.84,138.34,135.09,137.39,146.24,1,3,4,3,0,1
816,-8.072897,-34.900642,118.856666666667,121.623333333333,126.323333333333,123.356666666667,143.056666666667,135.223333333333,1,1,1,1,2,2
1324,-8.070462,-34.893307,100.39,120.356666666667,125.323333333333,113.023333333333,107.19,114.856666666667,0,1,3,1,1,1
2015,-8.068491,-34.889561,121.623333333333,133.49,133.923333333333,119.856666666667,100.523333333333,136.823333333333,0,1,4,1,0,1
1627,-8.069507,-34.898567,102.723333333333,118.856666666667,115.323333333333,110.756666666667,116.023333333333,109.956666666667,1,1,2,1,1,1
1714,-8.069274,-34.895439,107.356666666667,114.19,120.856666666667,103.856666666667,114.223333333333,114.69,0,1,2,1,1,0
1385,-8.070153,-34.88966,112.79,140.09,131.756666666667,118.356666666667,110.756666666667,136.89,0,1,3,1,0,1
912,-8.072556,-34.896324,106.023333333333,111.323333333333,123.623333333333,105.056666666667,117.656666666667,130.823333333333,1,0,2,0,1,1
1347,-8.070392,-34.893345,105.89,122.14,123.84,102.69,105.54,111.54,0,1,3,1,1,1
2866,-8.062255,-34.88792,135.19,128.99,137.59,141.815,140.465,144.99,1,3,4,3,0,1
1363,-8.070302,-34.900936,126.89,127.423333333333,114.556666666667,122.09,136.456666666667,129.123333333333,1,1,1,1,2,1
2288,-8.066579,-34.895226,111.156666666667,116.223333333333,124.89,120.59,126.59,96.39,0,1,3,1,1,0
1769,-8.069139,-34.897388,104.256666666667,106.056666666667,112.556666666667,99.0233333333333,127.39,100.823333333333,0,1,2,1,1,1
2681,-8.063905,-34.885952,122.256666666667,139.09,135.423333333333,130.723333333333,138.39,143.623333333333,1,2,5,2,0,1
2198,-8.067062,-34.892517,135.515,121.99,130.89,128.265,115.265,110.065,0,1,3,1,0,0
