"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
1299,-8.070557,-34.89621,106.09,110.09,119.59,99.29,125.39,114.79,0,1,2,1,1,1
596,-8.074223,-34.890274,95.19,134.756666666667,120.29,117.856666666667,123.323333333333,135.623333333333,1,0,3,0,1,2
1623,-8.069518,-34.898556,104.09,113.89,117.256666666667,115.523333333333,116.156666666667,115.823333333333,1,1,2,1,1,1
2562,-8.064988,-34.88538,124.356666666667,136.223333333333,139.223333333333,124.423333333333,121.39,141.39,1,2,5,2,0,1
1116,-8.071481,-34.891914,105.14,109.79,126.94,90.065,109.94,133.915,0,1,3,1,1,1
717,-8.073347,-34.900574,123.89,121.823333333333,124.656666666667,129.49,141.89,140.99,1,1,1,1,2,2
1782,-8.069095,-34.899643,108.09,118.923333333333,117.19,114.39,117.79,102.49,1,1,2,1,2,1
672,-8.073761,-34.8983,124.756666666667,98.5233333333333,97.3566666666667,100.29,134.39,127.756666666667,1,0,2,0,2,2
197,-8.076429,-34.895855,118.69,92.09,128.023333333333,121.09,129.223333333333,137.223333333333,1,0,2,0,2,2
573,-8.074309,-34.900326,120.023333333333,115.19,111.39,127.556666666667,137.256666666667,136.423333333333,1,1,1,1,2,2
2592,-8.064694,-34.8895,133.89,125.09,130.515,130.74,118.59,139.74,0,2,4,2,0,1
706,-8.07345,-34.890553,96.59,133.323333333333,126.956666666667,114.823333333333,114.456666666667,140.823333333333,1,0,3,0,1,1
1133,-8.071333,-34.89204,110.69,126.965,130.565,107.915,90.04,134.49,0,1,3,1,1,1
715,-8.073355,-34.896797,110.69,107.856666666667,95.49,104.923333333333,125.423333333333,137.123333333333,1,0,2,0,2,1
2060,-8.068253,-34.890064,122.09,133.223333333333,129.723333333333,117.89,103.09,128.323333333333,0,1,3,1,0,1
143,-8.076777,-34.897064,114.456666666667,89.8566666666667,129.39,120.69,124.023333333333,137.223333333333,1,0,2,0,2,2
2136,-8.067678,-34.900688,108.34,115.64,111.99,109.04,115.79,105.64,1,2,2,2,2,1
97,-8.077114,-34.899471,119.64,108.14,120.19,134.14,134.34,136.49,2,1,1,1,3,2
1012,-8.072248,-34.890694,106.99,131.09,126.856666666667,106.123333333333,105.19,137.356666666667,0,1,3,1,1,1
794,-8.072952,-34.890656,108.74,127.34,124.04,104.49,113.34,134.54,1,0,3,0,1,1
2580,-8.06484,-34.885086,121.723333333333,131.423333333333,130.623333333333,119.856666666667,128.423333333333,132.29,1,2,5,2,0,1
1640,-8.069473,-34.890972,109.115,133.715,127.115,115.065,102.24,124.34,0,1,3,1,0,1
1695,-8.069313,-34.889553,125.34,138.89,133.59,113.89,107.69,134.49,0,1,3,1,0,1
884,-8.072622,-34.890793,101.34,125.94,118.04,107.09,112.09,133.54,0,1,3,1,1,1
1576,-8.069617,-34.894829,105.980322580645,123.560967741935,123.006129032258,116.093225806452,110.180322580645,111.006129032258,0,1,2,1,1,1
420,-8.075429,-34.896282,124.14,113.14,132.14,120.19,121.54,135.19,1,0,2,0,2,2
1258,-8.070692,-34.900883,128.49,124.823333333333,125.123333333333,123.59,132.89,127.756666666667,1,1,1,1,2,1
233,-8.076343,-34.896008,117.023333333333,111.656666666667,130.49,120.99,128.623333333333,130.256666666667,1,0,2,0,2,2
2908,-8.061168,-34.904652,134.556666666667,114.69,134.123333333333,131.023333333333,132.123333333333,134.123333333333,2,3,3,3,3,2
1881,-8.068826,-34.900352,104.89,113.923333333333,117.423333333333,123.556666666667,128.29,111.056666666667,1,1,2,1,2,1
2695,-8.063835,-34.894684,136.94,107.14,122.94,134.69,126.39,124.19,0,2,3,2,1,0
178,-8.076507,-34.899704,121.823333333333,112.823333333333,123.223333333333,133.756666666667,135.623333333333,142.956666666667,2,1,1,1,2,2
462,-8.075132,-34.900131,117.99,122.09,124.823333333333,133.923333333333,139.756666666667,136.923333333333,2,1,1,1,2,2
779,-8.073052,-34.896313,108.14,117.44,116.14,104.14,122.79,129.59,1,0,2,0,1,1
123,-8.076926,-34.897472,117.323333333333,78.8233333333333,124.523333333333,116.823333333333,134.19,134.623333333333,1,0,2,0,2,2
718,-8.073326,-34.896702,122.29,104.89,98.79,98.84,124.29,136.64,1,0,2,0,2,1
2676,-8.063926,-34.89463,139.156666666667,114.79,125.29,134.79,124.356666666667,124.223333333333,0,2,3,2,1,0
1366,-8.070283,-34.897137,102.39,117.456666666667,119.29,111.156666666667,123.356666666667,108.723333333333,0,1,2,1,1,1
2541,-8.065111,-34.885826,125.29,130.756666666667,134.79,123.49,124.49,138.723333333333,1,2,4,2,0,1
1814,-8.069003,-34.900478,120.323333333333,116.323333333333,122.99,124.856666666667,129.656666666667,108.823333333333,1,1,2,1,2,1
1291,-8.070587,-34.893063,110.856666666667,124.99,121.356666666667,106.956666666667,107.29,108.69,0,1,3,1,1,1
2423,-8.0658,-34.892345,141.765,131.39,127.74,134.34,105.74,118.565,0,2,3,2,0,0
798,-8.072939,-34.895676,105.29,121.523333333333,106.556666666667,108.756666666667,122.556666666667,126.123333333333,1,0,2,0,1,1
1918,-8.068705,-34.896286,102.956666666667,119.49,125.023333333333,106.39,118.19,112.123333333333,0,1,2,1,1,0
1292,-8.070586,-34.90089,131.256666666667,129.756666666667,120.79,122.223333333333,135.956666666667,128.69,1,1,1,1,2,1
2089,-8.068043,-34.890644,119.556666666667,130.356666666667,127.323333333333,115.49,84.8566666666667,127.556666666667,0,1,3,1,0,1
229,-8.076364,-34.899738,125.556666666667,111.156666666667,136.056666666667,134.123333333333,141.123333333333,142.123333333333,2,1,1,1,2,2
2200,-8.067059,-34.894279,123.29,126.24,129.04,122.34,113.59,97.54,0,1,3,1,0,0
2869,-8.062226,-34.8881,135.64,128.865,136.49,134.115,138.065,140.64,1,3,4,3,0,1
2564,-8.06498,-34.885357,125.356666666667,136.456666666667,140.156666666667,122.69,124.623333333333,137.523333333333,1,2,5,2,0,1
1124,-8.0714,-34.895466,106.24,111.19,117.89,94.14,121.19,114.14,0,0,2,0,1,1
184,-8.076467,-34.896065,123.19,95.965,126.815,115.865,128.965,141.065,1,0,2,0,2,2
823,-8.072875,-34.895401,99.74,124.29,94.74,112.59,116.24,126.74,1,0,2,0,1,1
2644,-8.064124,-34.89716,124.74,104.24,118.34,95.04,123.94,107.09,1,2,3,2,1,0
1244,-8.070731,-34.900879,119.123333333333,126.923333333333,125.056666666667,123.823333333333,131.356666666667,128.79,1,1,1,1,2,1
