"pontoId
",lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
2774,-8.063.289,-34.886.677,130.556.666.666.667,137.656.666.666.667,141.59,135.723.333.333.333,140.323.333.333.333,147.69,1,3,5,3,0,1
50,-8.077.371,-3.489.938,128.49,111.356.666.666.667,126.99,136.356.666.666.667,133.056.666.666.667,145.356.666.666.667,2,0,1,0,3,2
2131,-8.067.739,-34.892.925,118.256.666.666.667,125.523.333.333.333,122.623.333.333.333,125.09,117.523.333.333.333,927.233.333.333.333,0,1,3,1,0,0
1135,-8.071.313,-34.892.048,107.49,126.49,128.465,105.865,89.84,133.565,0,1,3,1,1,1
2489,-806.556,-34.892.735,134.556.666.666.667,126.656.666.666.667,126.756.666.666.667,128.823.333.333.333,115.723.333.333.333,117.19,0,2,3,2,0,0
2823,-8.062.716,-3.488.736,130.29,137.023.333.333.333,141.623.333.333.333,133.256.666.666.667,142.323.333.333.333,144.823.333.333.333,1,3,4,3,0,1
2752,-806.353,-34.888.889,120.34,128.015,130.215,133.565,130.015,137.115,1,2,4,2,0,1
2380,-8.065.838,-34.892.006,139.356.666.666.667,130.69,134.423.333.333.333,137.223.333.333.333,107.456.666.666.667,118.323.333.333.333,0,2,3,2,0,0
2842,-8.062.397,-34.887.764,133.64,131.79,140.04,142.99,143.19,144.19,1,3,4,3,0,1
2603,-8.064.565,-34.897.106,127.39,100.79,122.94,94.24,126.44,111.19,1,2,3,2,1,0
597,-8.074.223,-34.890.263,103.723.333.333.333,139.523.333.333.333,126.79,126.623.333.333.333,122.856.666.666.667,140.656.666.666.667,1,0,3,0,1,2
2387,-8.065.832,-3.489.159,140.79,132.89,128.456.666.666.667,127.923.333.333.333,116.69,117.49,0,2,3,2,0,0
1646,-8.069.456,-34.889.526,129.69,135.823.333.333.333,129.19,114.656.666.666.667,100.456.666.666.667,133.723.333.333.333,0,1,3,1,0,1
438,-8.075.328,-3.489.249,118.59,128.49,128.99,108.04,122.64,141.74,1,0,3,0,1,2
2682,-80.639,-34.894.276,136.39,115.34,126.64,134.84,137.64,120.49,0,2,3,2,1,0
539,-8.074.515,-34.890.202,96.39,136.123.333.333.333,122.323.333.333.333,106.756.666.666.667,120.59,138.256.666.666.667,1,0,3,0,1,2
1702,-8.069.293,-348.965,110.723.333.333.333,106.923.333.333.333,106.523.333.333.333,905.566.666.666.667,114.056.666.666.667,105.423.333.333.333,0,1,2,1,1,1
949,-8.072.487,-34.900.681,117.223.333.333.333,119.59,119.656.666.666.667,120.423.333.333.333,138.723.333.333.333,124.79,1,1,1,1,2,2
2400,-806.582,-34.890.938,138.623.333.333.333,132.756.666.666.667,140.456.666.666.667,136.79,121.323.333.333.333,118.556.666.666.667,0,2,4,2,0,0
46,-8.077.387,-3.489.938,126.64,107.59,122.69,130.69,134.39,135.39,2,1,1,1,3,2
1879,-806.883,-34.900.322,104.556.666.666.667,111.923.333.333.333,118.323.333.333.333,121.823.333.333.333,124.89,112.056.666.666.667,1,1,2,1,2,1
1595,-8.069.586,-34.898.396,107.356.666.666.667,115.09,121.756.666.666.667,116.056.666.666.667,120.19,106.523.333.333.333,1,1,2,1,1,1
2357,-8.066.001,-34.888.611,123.59,133.856.666.666.667,132.29,124.456.666.666.667,102.623.333.333.333,137.156.666.666.667,0,2,4,2,0,1
1258,-8.070.692,-34.900.883,128.49,124.823.333.333.333,125.123.333.333.333,123.59,132.89,127.756.666.666.667,1,1,1,1,2,1
2716,-8.063.722,-34.897.202,126.89,103.14,127.79,96.19,124.29,119.74,1,2,3,2,1,0
980,-8.072.404,-34.900.688,115.64,116.69,122.64,121.09,139.94,127.19,1,1,1,1,2,2
1232,-8.070.766,-34.900.875,121.74,131.49,126.34,118.09,135.34,125.64,1,1,1,1,2,1
253,-8.076.256,-34.899.773,122.256.666.666.667,110.423.333.333.333,124.49,135.256.666.666.667,142.956.666.666.667,142.556.666.666.667,2,1,1,1,2,2
931,-807.252,-34.896.294,104.965,111.94,115.54,103.29,125.065,130.015,1,0,2,0,1,1
1631,-8.069.493,-34.890.995,107.356.666.666.667,137.523.333.333.333,124.223.333.333.333,115.956.666.666.667,999.566.666.666.667,127.59,0,1,3,1,0,1
326,-8.075.871,-34.894.035,110.14,118.89,121.64,109.99,126.79,136.99,1,0,2,0,2,2
416,-8.075.445,-34.896.282,114.223.333.333.333,119.823.333.333.333,132.223.333.333.333,116.39,132.09,134.39,1,0,2,0,2,2
2863,-8.062.281,-34.887.882,139.723.333.333.333,127.356.666.666.667,138.623.333.333.333,140.756.666.666.667,141.456.666.666.667,145.19,1,3,4,3,0,1
2077,-806.813,-34.890.324,122.64,135.74,130.115,120.29,105.19,127.54,0,1,3,1,0,1
55,-8.077.357,-34.898.674,123.223.333.333.333,808.233.333.333.333,121.423.333.333.333,120.323.333.333.333,132.723.333.333.333,135.59,2,0,1,0,2,2
1965,-8.068.598,-34.889.526,124.956.666.666.667,131.49,134.09,111.523.333.333.333,107.19,128.456.666.666.667,0,1,4,1,0,1
185,-8.076.459,-34.899.715,120.89,112.44,129.19,134.44,136.54,143.74,2,1,1,1,2,2
2094,-806.803,-34.896.683,111.49,109.723.333.333.333,108.056.666.666.667,973.566.666.666.667,118.456.666.666.667,997.233.333.333.333,0,1,2,1,1,0
1187,-8.070.974,-34.891.792,101.415,119.29,131.565,93.69,102.04,131.665,0,1,3,1,1,1
1268,-8.070.662,-34.891.899,104.79,129.49,124.09,117.723.333.333.333,989.233.333.333.333,132.956.666.666.667,0,1,3,1,1,1
1322,-8.070.476,-34.896.717,102.64,107.64,119.49,99.29,128.24,119.34,0,1,2,1,1,1
2137,-8.067.663,-34.890.396,123.556.666.666.667,126.023.333.333.333,127.69,111.223.333.333.333,97.39,130.556.666.666.667,0,1,3,1,0,1
1140,-807.129,-34.900.772,117.89,118.59,126.09,123.74,138.29,128.69,1,1,1,1,2,1
1654,-8.069.428,-3.489.106,108.99,134.023.333.333.333,120.723.333.333.333,122.356.666.666.667,104.156.666.666.667,131.89,0,1,3,1,0,1
1111,-8.071.501,-34.891.926,103.54,112.915,125.74,97.89,105.865,134.19,0,1,3,1,1,1
455,-8.075.187,-34.900.101,122.69,113.24,131.69,127.49,136.59,136.59,2,1,1,1,2,2
1448,-8.069.979,-34.890.102,100.956.666.666.667,137.723.333.333.333,128.056.666.666.667,121.69,114.356.666.666.667,133.19,0,1,3,1,0,1
1364,-8.070.296,-34.893.524,103.356.666.666.667,118.323.333.333.333,124.89,108.923.333.333.333,119.323.333.333.333,996.233.333.333.333,0,1,3,1,1,1
87,-8.077.186,-34.899.441,121.556.666.666.667,114.123.333.333.333,121.223.333.333.333,134.723.333.333.333,131.19,137.856.666.666.667,2,1,1,1,3,2
2093,-8.068.036,-34.892.292,120.19,127.34,129.19,109.49,118.59,106.24,0,1,3,1,0,0
775,-8.073.071,-34.896.347,101.023.333.333.333,100.823.333.333.333,121.69,960.233.333.333.333,119.19,136.023.333.333.333,1,0,2,0,1,1
41,-8.077.416,-34.898.849,118.79,79.59,124.723.333.333.333,120.156.666.666.667,121.656.666.666.667,133.923.333.333.333,2,0,1,0,2,2
15,-807.753,-34.899.109,122.815,82.965,115.34,127.865,134.69,136.84,2,0,1,0,3,2
65,-8.077.327,-34.898.586,123.356.666.666.667,831.566.666.666.667,120.956.666.666.667,120.923.333.333.333,131.223.333.333.333,137.256.666.666.667,2,0,1,0,2,2
841,-8.072.798,-3.489.666,107.09,961.566.666.666.667,123.89,87.19,124.756.666.666.667,137.023.333.333.333,1,0,2,0,1,1
2484,-8.065.576,-34.893.753,129.256.666.666.667,121.09,124.19,126.823.333.333.333,115.656.666.666.667,114.59,0,2,3,2,0,0
972,-8.072.415,-34.893.349,99.74,122.64,109.84,98.19,111.44,130.84,0,0,3,0,1,1
2740,-8.063.583,-3.490.144,138.89,128.523.333.333.333,131.99,122.723.333.333.333,133.49,130.556.666.666.667,1,2,2,2,2,1
1459,-8.069.946,-34.897.518,107.44,116.69,121.64,109.49,119.49,114.34,1,1,2,1,1,1
2367,-8.065.903,-34.901.241,120.99,123.923.333.333.333,122.29,112.756.666.666.667,130.19,117.256.666.666.667,1,2,2,2,2,1
1033,-8.072.116,-34.897.007,109.923.333.333.333,114.956.666.666.667,123.023.333.333.333,102.79,130.756.666.666.667,131.356.666.666.667,1,0,2,0,1,1
791,-8.072.972,-34.894.173,101.19,105.09,102.99,86.29,112.64,124.09,0,0,2,0,1,1
2817,-8.062.799,-3.488.726,132.923.333.333.333,138.79,140.823.333.333.333,131.856.666.666.667,137.19,145.49,1,3,4,3,0,1
2046,-8.068.363,-34.896.622,101.89,110.59,108.29,103.29,117.09,105.84,0,1,2,1,1,0
1853,-8.068.878,-34.889.618,124.69,132.423.333.333.333,133.19,110.256.666.666.667,106.223.333.333.333,135.256.666.666.667,0,1,3,1,0,1
1615,-8.069.531,-34.890.915,108.49,134.556.666.666.667,124.756.666.666.667,114.223.333.333.333,108.09,118.656.666.666.667,0,1,3,1,0,1
609,-8.074.162,-34.900.398,119.423.333.333.333,102.556.666.666.667,111.423.333.333.333,117.09,142.556.666.666.667,136.89,1,1,1,1,2,2
2824,-8.062.677,-34.887.405,134.99,139.84,138.34,135.09,137.39,146.24,1,3,4,3,0,1
816,-8.072.897,-34.900.642,118.856.666.666.667,121.623.333.333.333,126.323.333.333.333,123.356.666.666.667,143.056.666.666.667,135.223.333.333.333,1,1,1,1,2,2
1324,-8.070.462,-34.893.307,100.39,120.356.666.666.667,125.323.333.333.333,113.023.333.333.333,107.19,114.856.666.666.667,0,1,3,1,1,1
2015,-8.068.491,-34.889.561,121.623.333.333.333,133.49,133.923.333.333.333,119.856.666.666.667,100.523.333.333.333,136.823.333.333.333,0,1,4,1,0,1
